Year,Age_Group,age_lower,alcohol_deaths,suicide_deaths,population
2006,Aged 10 - 14 years,10,0,3,3371900
2006,Aged 15 - 19 years,15,2,80,3490300
2006,Aged 20 - 24 years,20,2,193,3548900
2006,Aged 25 - 29 years,25,13,241,3514100
2006,Aged 30 - 34 years,30,18,300,3645800
2006,Aged 35 - 39 years,35,47,416,4097500
2006,Aged 40 - 44 years,40,70,391,4136800
2006,Aged 45 - 49 years,45,76,360,3668800
2006,Aged 50 - 54 years,50,66,319,3254200
2006,Aged 55 - 59 years,55,102,307,3480700
2006,Aged 60 - 64 years,60,55,205,2879100
2006,Aged 65 - 69 years,65,40,146,2372300
2006,Aged 70 - 74 years,70,22,108,2065700
2006,Aged 75 - 79 years,75,16,99,1737400
2006,Aged 80 - 84 years,80,9,78,1297200
2007,Aged 10 - 14 years,10,0,7,3355600
2007,Aged 15 - 19 years,15,0,77,3534200
2007,Aged 20 - 24 years,20,4,188,3617700
2007,Aged 25 - 29 years,25,17,229,3635500
2007,Aged 30 - 34 years,30,33,316,3538400
2007,Aged 35 - 39 years,35,38,380,4058800
2007,Aged 40 - 44 years,40,69,374,4177800
2007,Aged 45 - 49 years,45,61,321,3763900
2007,Aged 50 - 54 years,50,91,291,3297100
2007,Aged 55 - 59 years,55,68,267,3320700
2007,Aged 60 - 64 years,60,62,204,3113100
2007,Aged 65 - 69 years,65,51,142,2379900
2007,Aged 70 - 74 years,70,11,98,2084300
2007,Aged 75 - 79 years,75,7,107,1749100
2007,Aged 80 - 84 years,80,15,90,1290100
2008,Aged 10 - 14 years,10,0,8,3336500
2008,Aged 15 - 19 years,15,2,80,3539000
2008,Aged 20 - 24 years,20,7,219,3667800
2008,Aged 25 - 29 years,25,8,277,3746800
2008,Aged 30 - 34 years,30,32,309,3500800
2008,Aged 35 - 39 years,35,63,376,3997300
2008,Aged 40 - 44 years,40,76,441,4174600
2008,Aged 45 - 49 years,45,105,355,3861300
2008,Aged 50 - 54 years,50,100,325,3364300
2008,Aged 55 - 59 years,55,91,297,3223300
2008,Aged 60 - 64 years,60,76,222,3252500
2008,Aged 65 - 69 years,65,52,135,2435400
2008,Aged 70 - 74 years,70,37,118,2122300
2008,Aged 75 - 79 years,75,22,98,1757600
2008,Aged 80 - 84 years,80,9,102,1290900
2009,Aged 10 - 14 years,10,0,2,3311600
2009,Aged 15 - 19 years,15,2,83,3557100
2009,Aged 20 - 24 years,20,5,215,3670600
2009,Aged 25 - 29 years,25,14,304,3781100
2009,Aged 30 - 34 years,30,23,239,3535300
2009,Aged 35 - 39 years,35,55,399,3906400
2009,Aged 40 - 44 years,40,89,426,4165800
2009,Aged 45 - 49 years,45,83,410,3962500
2009,Aged 50 - 54 years,50,87,340,3435600
2009,Aged 55 - 59 years,55,98,286,3188900
2009,Aged 60 - 64 years,60,81,223,3313500
2009,Aged 65 - 69 years,65,50,142,2517800
2009,Aged 70 - 74 years,70,21,119,2160900
2009,Aged 75 - 79 years,75,21,101,1760800
2009,Aged 80 - 84 years,80,11,88,1300500
2010,Aged 10 - 14 years,10,0,2,3289200
2010,Aged 15 - 19 years,15,1,80,3543700
2010,Aged 20 - 24 years,20,10,240,3722700
2010,Aged 25 - 29 years,25,9,217,3809000
2010,Aged 30 - 34 years,30,24,269,3609700
2010,Aged 35 - 39 years,35,47,351,3821500
2010,Aged 40 - 44 years,40,92,407,4118300
